fecha,pasajeros
2013-01-01,20245241.0
2013-02-01,22216140.0
2013-03-01,25133316.0
2013-04-01,28036779.0
2013-05-01,30272293.0
2013-06-01,25088366.0
2013-07-01,22744306.0
2013-08-01,22773557.0
2013-09-01,21070436.0
2013-10-01,26389033.0
2013-11-01,27813279.0
2013-12-01,30006401.0
2014-01-01,18980962.0
2014-02-01,15425030.0
2014-03-01,23420159.0
2014-04-01,21539545.0
2014-05-01,21966696.0
2014-06-01,21036910.0
2014-07-01,23120712.0
2014-08-01,21223217.0
2014-09-01,19377030.0
2014-10-01,23955209.0
2014-11-01,23911282.0
2014-12-01,20829347.0
2015-01-01,16757802.0
2015-02-01,17354492.0
2015-03-01,21741544.0
2015-04-01,24591462.0
2015-05-01,24331757.0
2015-06-01,25067182.0
2015-07-01,26231693.0
2015-08-01,25363942.0
2015-09-01,27249237.0
2015-10-01,26476537.0
2015-11-01,24823528.0
2015-12-01,22529944.0
2016-01-01,17899706.0
2016-02-01,18596967.0
2016-03-01,24814453.0
2016-04-01,27052456.0
2016-05-01,27980199.0
2016-06-01,26889334.0
2016-07-01,26951270.0
2016-08-01,30894806.0
2016-09-01,30836139.0
2016-10-01,29661269.0
2016-11-01,28587403.0
2016-12-01,24254189.0
2017-01-01,18552911.0
2017-02-01,17883468.0
2017-03-01,28632609.0
2017-04-01,25661548.0
2017-05-01,29630326.0
2017-06-01,29171034.0
2017-07-01,28746616.0
2017-08-01,31092495.0
2017-09-01,30566250.0
2017-10-01,31473514.0
2017-11-01,30915093.0
2017-12-01,26375861.0
2018-01-01,23364071.0
2018-02-01,22462246.0
2018-03-01,29815232.0
2018-04-01,29849648.0
2018-05-01,30641056.0
2018-06-01,30363629.0
2018-07-01,31106169.0
2018-08-01,33317575.0
2018-09-01,29341147.0
2018-10-01,32399217.0
2018-11-01,29228787.0
2018-12-01,26511337.0
2019-01-01,22849359.0
2019-02-01,23676949.0
2019-03-01,27808462.0
2019-04-01,28977998.0
2019-05-01,32528626.0
2019-06-01,27271175.0
2019-07-01,30028770.0
2019-08-01,31037461.0
2019-09-01,30508244.0
2019-10-01,32503294.0
2019-11-01,29458886.0
2019-12-01,27755831.0
2020-01-01,22570684.0
2020-02-01,23673460.0
2020-03-01,5631421.0
2020-04-01,5460600.0
2020-05-01,5794528.0
2020-06-01,5543205.0
2020-07-01,3374652.0
2020-08-01,2501355.0
2020-09-01,5895349.0
2020-10-01,5835847.0
2020-11-01,4566989.0
2020-12-01,5762263.0
2021-01-01,4059838.0
2021-04-01,4887321.0
2021-05-01,3907938.0
2021-06-01,5059241.0
2021-07-01,6775966.0
2021-08-01,8674761.0
2021-09-01,10582706.0
2021-10-01,12360480.0
2021-11-01,14534954.0
2021-12-01,14875075.0
2022-01-01,9869557.0
2022-02-01,12784217.0
2022-03-01,18489331.0
2022-04-01,19735838.0
2022-05-01,20383381.0
2022-06-01,20914661.0
2022-07-01,21373509.0
2022-08-01,22997686.0
2022-09-01,22852529.0
2022-10-01,21439078.0
2022-11-01,22023689.0
2022-12-01,18595981.0
2023-01-01,13893983.0
2023-02-01,15913926.0
2023-03-01,21289243.0
2023-05-01,20399526.0
2023-06-01,20455704.0
2023-07-01,21125302.0
2023-08-01,22980733.0
2023-09-01,22350068.0
2023-10-01,22279302.0
2023-12-01,20587345.0
2024-01-01,10279833.0
2024-02-01,12630494.0
2024-03-01,19106211.0
2024-04-01,18352113.0
2024-05-01,18053891.0
2024-06-01,13847162.0
2024-07-01,17922650.0
2024-08-01,19443303.0
2024-09-01,19182368.0
2024-11-01,6857718.0
2024-12-01,15547350.0
2025-01-01,12732331.0
2025-02-01,13142837.0
2025-03-01,1600902.0
2025-04-01,17593167.0
2025-05-01,19176367.0
2025-06-01,18611881.0
2025-07-01,19936627.0
2025-08-01,13563219.0
2025-09-01,19713080.0
2025-10-01,19432742.0
2025-11-01,17182572.0
2025-12-01,16418363.0
