fecha,vehiculos
2013-01-01,9097409.0
2013-02-01,8279601.0
2013-03-01,9644017.0
2013-04-01,9351770.0
2013-05-01,9700388.0
2013-06-01,9178077.0
2013-07-01,9751902.0
2013-08-01,10106917.0
2013-09-01,9790059.0
2013-10-01,10481768.0
2013-11-01,10110029.0
2013-12-01,10068938.0
2014-01-01,8901632.0
2014-02-01,8415279.0
2014-03-01,9520645.0
2014-04-01,9276525.0
2014-05-01,9696787.0
2014-06-01,9616958.0
2014-07-01,10083945.0
2014-08-01,10145648.0
2014-09-01,10246489.0
2014-10-01,10788269.0
2014-11-01,10294079.0
2014-12-01,10569557.0
2015-01-01,9183788.0
2015-02-01,8682789.0
2015-03-01,9691973.0
2015-04-01,9796476.0
2015-05-01,9930088.0
2015-06-01,9931895.0
2015-07-01,10570598.0
2015-08-01,10476223.0
2015-09-01,10744265.0
2015-10-01,11089107.0
2015-11-01,10896807.0
2015-12-01,11035192.0
2016-01-01,9688317.0
2016-02-01,9338773.0
2016-03-01,10399044.0
2016-04-01,10095882.0
2016-05-01,10374982.0
2016-06-01,9985707.0
2016-07-01,10356837.0
2016-08-01,10862740.0
2016-09-01,10790771.0
2016-10-01,11058676.0
2016-11-01,11107749.0
2016-12-01,11287105.0
2017-01-01,10059298.0
2017-02-01,8825599.0
2017-03-01,10237044.0
2017-04-01,9764941.0
2017-05-01,10279229.0
2017-06-01,10181601.0
2017-07-01,10421643.0
2017-08-01,10810670.0
2017-09-01,10752454.0
2017-10-01,11259159.0
2017-11-01,11264361.0
2017-12-01,10977491.0
2018-01-01,10038021.0
2018-02-01,9206000.0
2018-03-01,10809046.0
2018-04-01,10135667.0
2018-05-01,10518753.0
2018-06-01,9914701.0
2018-07-01,10215822.0
2018-08-01,10683620.0
2018-09-01,10023512.0
2018-10-01,10901629.0
2018-11-01,10212888.0
2018-12-01,10434033.0
2019-01-01,9681062.0
2019-02-01,9279669.0
2019-03-01,10596342.0
2019-04-01,9852378.0
2019-05-01,10711309.0
2019-06-01,10101566.0
2019-07-01,11039429.0
2019-08-01,11103630.0
2019-09-01,10880211.0
2019-10-01,11075826.0
2019-11-01,11289355.0
2019-12-01,11099748.0
2020-01-01,10599277.0
2020-02-01,10229653.0
2020-03-01,7407166.0
2020-04-01,2649427.2
2020-05-01,2603540.52
2020-06-01,3028518.36
2020-07-01,2806844.04
2020-08-01,2413454.4
2020-09-01,2588652.36
2020-10-01,3024609.84
2020-11-01,2658085.92
2020-12-01,2617556.7600000002
2021-01-01,8781879.0
2021-02-01,8437402.0
2021-03-01,9767077.0
2021-04-01,8282511.0
2021-05-01,7176824.0
2021-06-01,8501733.0
2021-07-01,9786464.0
2021-08-01,10101639.0
2021-09-01,20585542.0
2021-10-01,10826500.0
2021-11-01,11106073.0
2021-12-01,11684739.0
2022-01-01,8883627.56425
2022-02-01,8518864.023
2022-03-01,11818028.181
2022-04-01,8132713.223
2022-05-01,8101259.42
2022-06-01,7969172.206
2022-07-01,7814291.774250001
2022-08-01,8705743.866
2022-09-01,10562518.9465
2022-10-01,9127273.881
2022-11-01,7834702.0485
2022-12-01,8846223.784
2023-01-01,8297382.986
2023-02-01,7710095.769
2023-03-01,8615965.288
2023-04-01,7667777.947
2023-05-01,7409946.238
2023-06-01,8823121.518333333
2023-07-01,7632081.464
2023-08-01,7769426.774
2023-09-01,7258448.849
2023-10-01,8323445.359
2023-11-01,8410905.503
2023-12-01,8606909.424
2024-01-01,7855971.271
2024-02-01,7698305.323
2024-03-01,8375623.176
2024-04-01,7590148.514
2024-05-01,7749581.106
2024-06-01,9998459.349
2024-07-01,11031777.593
2024-08-01,11502608.568
2024-09-01,11817432.577
2024-10-01,12587927.349
2024-11-01,9163743.771
2024-12-01,12855410.273
